"customer_key";"customer_number";"customer_name";"age";"total_orders";"total_sales";"total_quantity";"total_products";"lifespan";"age_group";"customer_segment";"last_order";"recency";"avg_order_value";"avg_monthly_spends"
1;"AW00011000";"Jon Yang";54;3;8249.0;8.0;8;27;"50 and Above";"VIP";"2013-05-03";156;2749.67;305.52
2;"AW00011001";"Eugene Huang";50;3;6384.0;11.0;10;34;"50 and Above";"VIP";"2013-12-10";149;2128.0;187.76
3;"AW00011002";"Ruben Torres";55;3;8114.0;4.0;4;25;"50 and Above";"VIP";"2013-02-23";159;2704.67;324.56
4;"AW00011003";"Christy Zhu";52;3;8139.0;9.0;9;28;"50 and Above";"VIP";"2013-05-10";156;2713.0;290.68
5;"AW00011004";"Elizabeth Johnson";46;3;8196.0;6.0;6;27;"40-49";"VIP";"2013-05-01";156;2732.0;303.56
6;"AW00011005";"Julio Ruiz";49;3;8121.0;6.0;6;28;"40-49";"VIP";"2013-05-02";156;2707.0;290.04
7;"AW00011006";"Janet Alvarez";49;3;8119.0;5.0;5;27;"40-49";"VIP";"2013-05-14";156;2706.33;300.7
8;"AW00011007";"Marco Mehta";56;3;8211.0;8.0;8;26;"50 and Above";"VIP";"2013-03-19";158;2737.0;315.81
9;"AW00011008";"Rob Verhoff";50;3;8106.0;7.0;7;25;"50 and Above";"VIP";"2013-03-02";158;2702.0;324.24
10;"AW00011009";"Shannon Carlson";56;3;8091.0;5.0;5;27;"50 and Above";"VIP";"2013-05-09";156;2697.0;299.67
11;"AW00011010";"Jacquelyn Suarez";56;3;8088.0;4.0;4;28;"50 and Above";"VIP";"2013-05-23";156;2696.0;288.86
12;"AW00011011";"Curtis Lu";57;3;8133.0;4.0;4;26;"50 and Above";"VIP";"2013-03-19";158;2711.0;312.81
13;"AW00011012";"Lauren Walker";47;2;81.0;5.0;5;6;"40-49";"New";"2013-10-15";151;40.5;13.5
14;"AW00011013";"Ian Jenkins";46;2;114.0;5.0;5;9;"40-49";"New";"2014-01-21";148;57.0;12.67
15;"AW00011014";"Sydney Bennett";52;2;138.0;6.0;5;1;"50 and Above";"New";"2013-04-30";157;69.0;138.0
16;"AW00011015";"Chloe Young";41;1;2501.0;3.0;3;0;"40-49";"New";"2013-01-18";160;2501.0;2501.0
17;"AW00011016";"Wyatt Hill";41;1;2332.0;3.0;3;0;"40-49";"New";"2013-02-09";159;2332.0;2332.0
18;"AW00011017";"Shannon Wang";76;3;6434.0;4.0;4;33;"50 and Above";"VIP";"2013-10-14";151;2144.67;194.97
19;"AW00011018";"Clarence Rai";70;3;6533.0;7.0;7;33;"50 and Above";"VIP";"2013-10-24";151;2177.67;197.97
20;"AW00011019";"Luke Lal";42;17;880.0;33.0;20;11;"40-49";"New";"2014-01-12";148;51.76;80.0
21;"AW00011020";"Jordan King";42;1;2317.0;2.0;2;0;"40-49";"New";"2012-12-29";161;2317.0;2317.0
22;"AW00011021";"Destiny Wilson";42;1;2372.0;3.0;3;0;"40-49";"New";"2013-01-23";160;2372.0;2372.0
23;"AW00011022";"Ethan Zhang";42;1;2322.0;2.0;2;0;"40-49";"New";"2013-01-20";160;2322.0;2322.0
24;"AW00011023";"Seth Edwards";42;2;122.0;6.0;6;10;"40-49";"New";"2014-01-14";148;61.0;12.2
25;"AW00011024";"Russell Xie";42;2;56.0;6.0;5;0;"40-49";"New";"2013-07-26";154;28.0;56.0
26;"AW00011025";"Alejandro Beck";74;3;6577.0;6.0;6;33;"50 and Above";"VIP";"2013-10-25";151;2192.33;199.3
27;"AW00011026";"Harold Sai";74;3;6575.0;7.0;7;32;"50 and Above";"VIP";"2013-10-15";151;2191.67;205.47
28;"AW00011027";"Jessie Zhao";73;3;6591.0;9.0;9;33;"50 and Above";"VIP";"2013-10-24";151;2197.0;199.73
29;"AW00011028";"Jill Jimenez";74;3;6474.0;5.0;5;32;"50 and Above";"VIP";"2013-10-07";151;2158.0;202.31
30;"AW00011029";"Jimmy Moreno";73;3;6565.0;7.0;7;33;"50 and Above";"VIP";"2013-11-11";150;2188.33;198.94
31;"AW00011030";"Bethany Yuan";68;3;6471.0;4.0;4;33;"50 and Above";"VIP";"2013-11-09";150;2157.0;196.09
32;"AW00011031";"Theresa Ramos";73;3;6478.0;6.0;6;33;"50 and Above";"VIP";"2013-11-13";150;2159.33;196.3
33;"AW00011032";"Denise Stone";73;3;6525.0;10.0;10;32;"50 and Above";"VIP";"2013-11-08";150;2175.0;203.91
34;"AW00011033";"Jaime Nath";67;3;6495.0;7.0;7;32;"50 and Above";"VIP";"2013-11-05";150;2165.0;202.97
35;"AW00011034";"Ebony Gonzalez";73;3;6491.0;4.0;4;33;"50 and Above";"VIP";"2013-11-10";150;2163.67;196.7
36;"AW00011035";"Wendy Dominguez";72;3;6451.0;5.0;5;33;"50 and Above";"VIP";"2013-11-15";150;2150.33;195.48
37;"AW00011036";"Jennifer Russell";41;1;2355.0;2.0;2;0;"40-49";"New";"2013-01-22";160;2355.0;2355.0
38;"AW00011037";"Chloe Garcia";43;1;2374.0;7.0;7;0;"40-49";"New";"2013-01-20";160;2374.0;2374.0
39;"AW00011038";"Diana Hernandez";72;3;6437.0;3.0;3;33;"50 and Above";"VIP";"2013-11-12";150;2145.67;195.06
40;"AW00011039";"Marc Martin";71;3;6636.0;9.0;8;33;"50 and Above";"VIP";"2013-11-11";150;2212.0;201.09
41;"AW00011040";"Jesse Murphy";43;1;2351.0;3.0;3;0;"40-49";"New";"2013-04-03";157;2351.0;2351.0
42;"AW00011041";"Amanda Carter";43;1;2381.0;3.0;3;0;"40-49";"New";"2013-01-14";160;2381.0;2381.0
43;"AW00011042";"Megan Sanchez";43;2;3112.0;3.0;3;8;"40-49";"New";"2013-10-17";151;1556.0;389.0
44;"AW00011043";"Nathan Simmons";44;2;48.0;3.0;3;3;"40-49";"New";"2013-08-18";153;24.0;16.0
45;"AW00011044";"Adam Flores";71;3;6515.0;7.0;7;32;"50 and Above";"VIP";"2013-11-08";150;2171.67;203.59
46;"AW00011045";"Leonard Nara";70;2;115.0;4.0;4;6;"50 and Above";"New";"2013-10-29";151;57.5;19.17
47;"AW00011046";"Christine Yuan";70;3;6616.0;6.0;6;33;"50 and Above";"VIP";"2013-11-12";150;2205.33;200.48
48;"AW00011047";"Jaclyn Lu";70;3;6582.0;4.0;4;33;"50 and Above";"VIP";"2013-11-19";150;2194.0;199.45
49;"AW00011048";"Jeremy Powell";70;3;6498.0;8.0;8;34;"50 and Above";"VIP";"2013-12-25";149;2166.0;191.12
50;"AW00011049";"Carol Rai";40;2;81.0;5.0;5;7;"40-49";"New";"2013-10-29";151;40.5;11.57
51;"AW00011050";"Alan Zheng";69;3;5007.0;6.0;6;32;"50 and Above";"VIP";"2013-11-19";150;1669.0;156.47
52;"AW00011051";"Daniel Johnson";69;2;124.0;5.0;5;0;"50 and Above";"New";"2014-01-01";148;62.0;124.0
53;"AW00011052";"Heidi Lopez";69;3;8131.0;7.0;7;27;"50 and Above";"VIP";"2013-05-27";156;2710.33;301.15
54;"AW00011053";"Ana Price";40;1;2330.0;2.0;2;0;"40-49";"New";"2013-01-17";160;2330.0;2330.0
55;"AW00011054";"Deanna Munoz";68;3;8223.0;6.0;6;27;"50 and Above";"VIP";"2013-05-30";156;2741.0;304.56
56;"AW00011055";"Gilbert Raje";68;3;8168.0;8.0;8;28;"50 and Above";"VIP";"2013-06-07";155;2722.67;291.71
57;"AW00011056";"Michele Nath";67;3;8207.0;8.0;8;27;"50 and Above";"VIP";"2013-05-31";156;2735.67;303.96
58;"AW00011057";"Carl Andersen";56;3;8088.0;4.0;4;26;"50 and Above";"VIP";"2013-05-21";156;2696.0;311.08
59;"AW00011058";"Marc Diaz";61;3;8248.0;6.0;6;26;"50 and Above";"VIP";"2013-06-04";155;2749.33;317.23
60;"AW00011059";"Ashlee Andersen";66;3;117.0;7.0;6;0;"50 and Above";"New";"2013-03-16";158;39.0;117.0
61;"AW00011060";"Jon Zhou";66;3;8153.0;6.0;6;27;"50 and Above";"VIP";"2013-06-25";155;2717.67;301.96
